200950 , "Nothing Else Matters" , "Metallica" , 6:29 , 6 , 11 , "Linz" , "Austria"
200950 , "Kings and Queens" , "30 Seconds to Mars" , 5:46 , 7 , 10 , "Linz" , "Austria"
200950 , "All My Life" , "Foo Fighters" , 4:23 , 8 , 10 , "Linz" , "Austria"
200950 , "Down With the Sickness" , "Disturbed" , 4:37 , 9 , 10 , "Linz" , "Austria"
200950 , "Use Somebody" , "Kings of Leon" , 3:50 , 10 , 10 , "Linz" , "Austria"
200950 , "The Unforgiven" , "Metallica" , 6:27 , 11 , 10 , "Linz" , "Austria"
200950 , "Chop Suey!" , "System of a Down" , 3:31 , 12 , 10 , "Linz" , "Austria"
200950 , "Wiener Blut" , "Rammstein" , 3:52 , 13 , 9 , "Linz" , "Austria"
200950 , "Knights of Cydonia" , "Muse" , 6:07 , 14 , 9 , "Linz" , "Austria"
200950 , "Ohne dich" , "Rammstein" , 4:30 , 15 , 9 , "Linz" , "Austria"
200950 , "Banquet" , "Bloc Party" , 3:20 , 16 , 9 , "Linz" , "Austria"
200950 , "Swing Life Away" , "Rise Against" , 3:20 , 17 , 9 , "Linz" , "Austria"
200950 , "Driving Home for Christmas" , "Chris Rea" , 3:59 , 18 , 9 , "Linz" , "Austria"
200950 , "Bulletproof" , "La Roux" , 3:17 , 19 , 9 , "Linz" , "Austria"
200950 , "Take Me Out" , "Franz Ferdinand" , 4:00 , 20 , 8 , "Linz" , "Austria"
200950 , "Use Somebody" , "Kings of Leon" , 3:50 , 1 , 26 , "Graz" , "Austria"
200950 , "Crystalised" , "The xx" , 3:22 , 2 , 19 , "Graz" , "Austria"
200950 , "Kids" , "MGMT" , 5:03 , 3 , 19 , "Graz" , "Austria"
200950 , "Invaders Must Die" , "The Prodigy" , 4:55 , 4 , 18 , "Graz" , "Austria"
200950 , "Sex On Fire" , "Kings of Leon" , 3:25 , 5 , 17 , "Graz" , "Austria"
200950 , "Shelter" , "The xx" , 4:30 , 6 , 17 , "Graz" , "Austria"
200950 , "Islands" , "The xx" , 2:41 , 7 , 17 , "Graz" , "Austria"
200950 , "Heart Skipped a Beat" , "The xx" , 4:02 , 8 , 17 , "Graz" , "Austria"
200950 , "Infinity" , "The xx" , 5:14 , 9 , 17 , "Graz" , "Austria"
200950 , "Fantasy" , "The xx" , 1:07 , 10 , 17 , "Graz" , "Austria"
200950 , "Basic Space" , "The xx" , 3:09 , 11 , 16 , "Graz" , "Austria"
200950 , "Skinny Love" , "Bon Iver" , 3:57 , 12 , 16 , "Graz" , "Austria"
200950 , "VCR" , "The xx" , 2:56 , 13 , 16 , "Graz" , "Austria"
200950 , "Alles Neu" , "Peter Fox" , 4:10 , 14 , 16 , "Graz" , "Austria"
200950 , "Time To Pretend" , "MGMT" , 4:22 , 15 , 15 , "Graz" , "Austria"
200950 , "Omen" , "The Prodigy" , 3:55 , 16 , 15 , "Graz" , "Austria"
200950 , "Ulysses" , "Franz Ferdinand" , 3:08 , 17 , 14 , "Graz" , "Austria"
200950 , "Take Me Out" , "Franz Ferdinand" , 4:00 , 18 , 14 , "Graz" , "Austria"
200950 , "Closer" , "Kings of Leon" , 3:56 , 19 , 14 , "Graz" , "Austria"
