200938 , "Uprising" , "Muse" , 3:35 , 1 , 279 , "Melbourne" , "Australia"
200938 , "Resistance" , "Muse" , 5:45 , 2 , 244 , "Melbourne" , "Australia"
200938 , "Undisclosed Desires" , "Muse" , 3:55 , 3 , 242 , "Melbourne" , "Australia"
200938 , "Unnatural Selection" , "Muse" , 6:54 , 4 , 206 , "Melbourne" , "Australia"
200938 , "MK Ultra" , "Muse" , 4:06 , 5 , 205 , "Melbourne" , "Australia"
200938 , "Guiding Light" , "Muse" , 4:12 , 6 , 201 , "Melbourne" , "Australia"
200938 , "Ignorance" , "Paramore" , 3:39 , 7 , 135 , "Melbourne" , "Australia"
200938 , "Knights of Cydonia" , "Muse" , 6:07 , 8 , 118 , "Melbourne" , "Australia"
200938 , "Skinny Love" , "Bon Iver" , 3:57 , 9 , 118 , "Melbourne" , "Australia"
200938 , "1901" , "Phoenix" , 3:12 , 10 , 115 , "Melbourne" , "Australia"
200938 , "Karma Police" , "Radiohead" , 4:19 , 11 , 115 , "Melbourne" , "Australia"
200938 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 12 , 113 , "Melbourne" , "Australia"
200938 , "Supermassive Black Hole" , "Muse" , 3:30 , 13 , 112 , "Melbourne" , "Australia"
200938 , "Starlight" , "Muse" , 4:00 , 14 , 110 , "Melbourne" , "Australia"
200938 , "Hysteria" , "Muse" , 3:47 , 15 , 110 , "Melbourne" , "Australia"
200938 , "Lisztomania" , "Phoenix" , 4:00 , 16 , 109 , "Melbourne" , "Australia"
200938 , "Decode" , "Paramore" , 4:21 , 17 , 108 , "Melbourne" , "Australia"
200938 , "Time Is Running Out" , "Muse" , 3:56 , 18 , 106 , "Melbourne" , "Australia"
200938 , "Paranoid Android" , "Radiohead" , 6:27 , 19 , 106 , "Melbourne" , "Australia"
200938 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 20 , 106 , "Melbourne" , "Australia"
200938 , "Uprising" , "Muse" , 3:35 , 1 , 83 , "Adelaide" , "Australia"
200938 , "Resistance" , "Muse" , 5:45 , 2 , 70 , "Adelaide" , "Australia"
200938 , "Undisclosed Desires" , "Muse" , 3:55 , 3 , 66 , "Adelaide" , "Australia"
200938 , "Unnatural Selection" , "Muse" , 6:54 , 4 , 58 , "Adelaide" , "Australia"
200938 , "Supermassive Black Hole" , "Muse" , 3:30 , 5 , 55 , "Adelaide" , "Australia"
200938 , "MK Ultra" , "Muse" , 4:06 , 6 , 53 , "Adelaide" , "Australia"
200938 , "Guiding Light" , "Muse" , 4:12 , 7 , 51 , "Adelaide" , "Australia"
200938 , "Ignorance" , "Paramore" , 3:39 , 8 , 49 , "Adelaide" , "Australia"
200938 , "Knights of Cydonia" , "Muse" , 6:07 , 9 , 47 , "Adelaide" , "Australia"
200938 , "Kids" , "MGMT" , 5:03 , 10 , 44 , "Adelaide" , "Australia"
200938 , "Skinny Love" , "Bon Iver" , 3:57 , 11 , 40 , "Adelaide" , "Australia"
200938 , "Bulletproof" , "La Roux" , 3:17 , 12 , 40 , "Adelaide" , "Australia"
200938 , "Decode" , "Paramore" , 4:21 , 13 , 40 , "Adelaide" , "Australia"
200938 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 14 , 36 , "Adelaide" , "Australia"
200938 , "Time Is Running Out" , "Muse" , 3:56 , 15 , 36 , "Adelaide" , "Australia"
200938 , "Sex On Fire" , "Kings of Leon" , 3:25 , 16 , 36 , "Adelaide" , "Australia"
200938 , "Careful" , "Paramore" , 3:50 , 17 , 35 , "Adelaide" , "Australia"
200938 , "Brick by Boring Brick" , "Paramore" , 4:12 , 18 , 35 , "Adelaide" , "Australia"
200938 , "Wonderwall" , "Oasis" , 4:18 , 19 , 35 , "Adelaide" , "Australia"
200938 , "Turn It Off" , "Paramore" , 4:19 , 20 , 33 , "Adelaide" , "Australia"
200938 , "Uprising" , "Muse" , 3:35 , 1 , 273 , "Sydney" , "Australia"
200938 , "Undisclosed Desires" , "Muse" , 3:55 , 2 , 242 , "Sydney" , "Australia"
200938 , "Resistance" , "Muse" , 5:45 , 3 , 240 , "Sydney" , "Australia"
200938 , "Unnatural Selection" , "Muse" , 6:54 , 4 , 195 , "Sydney" , "Australia"
200938 , "MK Ultra" , "Muse" , 4:06 , 5 , 193 , "Sydney" , "Australia"
200938 , "Guiding Light" , "Muse" , 4:12 , 6 , 181 , "Sydney" , "Australia"
200938 , "Ignorance" , "Paramore" , 3:39 , 7 , 166 , "Sydney" , "Australia"
200938 , "Decode" , "Paramore" , 4:21 , 8 , 145 , "Sydney" , "Australia"
200938 , "Supermassive Black Hole" , "Muse" , 3:30 , 9 , 143 , "Sydney" , "Australia"
200938 , "Skinny Love" , "Bon Iver" , 3:57 , 10 , 142 , "Sydney" , "Australia"
200938 , "Sex On Fire" , "Kings of Leon" , 3:25 , 11 , 132 , "Sydney" , "Australia"
200938 , "Brick by Boring Brick" , "Paramore" , 4:12 , 12 , 129 , "Sydney" , "Australia"
200938 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 13 , 127 , "Sydney" , "Australia"
200938 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 14 , 125 , "Sydney" , "Australia"
200938 , "Knights of Cydonia" , "Muse" , 6:07 , 15 , 125 , "Sydney" , "Australia"
200938 , "Careful" , "Paramore" , 3:50 , 16 , 123 , "Sydney" , "Australia"
200938 , "Viva La Vida" , "Coldplay" , 4:00 , 17 , 122 , "Sydney" , "Australia"
200938 , "1901" , "Phoenix" , 3:12 , 18 , 119 , "Sydney" , "Australia"
200938 , "Electric Feel" , "MGMT" , 3:49 , 19 , 119 , "Sydney" , "Australia"
200938 , "Time Is Running Out" , "Muse" , 3:56 , 20 , 118 , "Sydney" , "Australia"
200938 , "Uprising" , "Muse" , 3:35 , 1 , 15 , "Linz" , "Austria"
200938 , "Resistance" , "Muse" , 5:45 , 2 , 15 , "Linz" , "Austria"
200938 , "Undisclosed Desires" , "Muse" , 3:55 , 3 , 13 , "Linz" , "Austria"
200938 , "Bulletproof" , "La Roux" , 3:17 , 4 , 13 , "Linz" , "Austria"
200938 , "Kids" , "MGMT" , 5:03 , 5 , 13 , "Linz" , "Austria"
200938 , "Supermassive Black Hole" , "Muse" , 3:30 , 6 , 11 , "Linz" , "Austria"
200938 , "Guiding Light" , "Muse" , 4:12 , 7 , 11 , "Linz" , "Austria"
200938 , "Time To Pretend" , "MGMT" , 4:22 , 8 , 11 , "Linz" , "Austria"
200938 , "Starlight" , "Muse" , 4:00 , 9 , 11 , "Linz" , "Austria"
200938 , "MK Ultra" , "Muse" , 4:06 , 10 , 10 , "Linz" , "Austria"
200938 , "Time Is Running Out" , "Muse" , 3:56 , 11 , 9 , "Linz" , "Austria"
200938 , "Slam" , "Pendulum" , 5:45 , 12 , 9 , "Linz" , "Austria"
200938 , "Tribute" , "Tenacious D" , 4:08 , 13 , 9 , "Linz" , "Austria"
200938 , "Use Somebody" , "Kings of Leon" , 3:50 , 14 , 9 , "Linz" , "Austria"
200938 , "Swing Life Away" , "Rise Against" , 3:20 , 15 , 9 , "Linz" , "Austria"
200938 , "Unnatural Selection" , "Muse" , 6:54 , 16 , 9 , "Linz" , "Austria"
200938 , "Ein Kompliment" , "Sportfreunde Stiller" , 3:17 , 17 , 8 , "Linz" , "Austria"
200938 , "Under the Bridge" , "Red Hot Chili Peppers" , 4:24 , 18 , 8 , "Linz" , "Austria"
200938 , "Sex On Fire" , "Kings of Leon" , 3:25 , 19 , 8 , "Linz" , "Austria"
200938 , "No One Knows" , "Queens of the Stone Age" , 4:41 , 20 , 8 , "Linz" , "Austria"
200938 , "Uprising" , "Muse" , 3:35 , 1 , 32 , "Graz" , "Austria"
200938 , "Resistance" , "Muse" , 5:45 , 2 , 29 , "Graz" , "Austria"
200938 , "Undisclosed Desires" , "Muse" , 3:55 , 3 , 27 , "Graz" , "Austria"
200938 , "Guiding Light" , "Muse" , 4:12 , 4 , 22 , "Graz" , "Austria"
200938 , "Sex On Fire" , "Kings of Leon" , 3:25 , 5 , 22 , "Graz" , "Austria"
200938 , "MK Ultra" , "Muse" , 4:06 , 6 , 22 , "Graz" , "Austria"
200938 , "Unnatural Selection" , "Muse" , 6:54 , 7 , 21 , "Graz" , "Austria"
200938 , "Kids" , "MGMT" , 5:03 , 8 , 20 , "Graz" , "Austria"
200938 , "Use Somebody" , "Kings of Leon" , 3:50 , 9 , 18 , "Graz" , "Austria"
200938 , "Omen" , "The Prodigy" , 3:55 , 10 , 18 , "Graz" , "Austria"
200938 , "Gonna See My Friend" , "Pearl Jam" , 2:48 , 11 , 17 , "Graz" , "Austria"
200938 , "Closer" , "Kings of Leon" , 3:56 , 12 , 16 , "Graz" , "Austria"
200938 , "Time To Pretend" , "MGMT" , 4:22 , 13 , 16 , "Graz" , "Austria"
200938 , "Bulletproof" , "La Roux" , 3:17 , 14 , 16 , "Graz" , "Austria"
200938 , "Johnny Guitar" , "Pearl Jam" , 2:51 , 15 , 15 , "Graz" , "Austria"
200938 , "Alles Neu" , "Peter Fox" , 4:10 , 16 , 15 , "Graz" , "Austria"
200938 , "Nantes" , "Beirut" , 3:51 , 17 , 15 , "Graz" , "Austria"
200938 , "Viva La Vida" , "Coldplay" , 4:00 , 18 , 15 , "Graz" , "Austria"
200938 , "Got Some" , "Pearl Jam" , 3:03 , 19 , 14 , "Graz" , "Austria"
200938 , "Amongst The Waves" , "Pearl Jam" , 3:59 , 20 , 14 , "Graz" , "Austria"
200938 , "Uprising" , "Muse" , 3:35 , 1 , 148 , "Vienna" , "Austria"
200938 , "Resistance" , "Muse" , 5:45 , 2 , 128 , "Vienna" , "Austria"
200938 , "Undisclosed Desires" , "Muse" , 3:55 , 3 , 122 , "Vienna" , "Austria"
200938 , "Bulletproof" , "La Roux" , 3:17 , 4 , 117 , "Vienna" , "Austria"
200938 , "Guiding Light" , "Muse" , 4:12 , 5 , 112 , "Vienna" , "Austria"
200938 , "Unnatural Selection" , "Muse" , 6:54 , 6 , 107 , "Vienna" , "Austria"
200938 , "MK Ultra" , "Muse" , 4:06 , 7 , 105 , "Vienna" , "Austria"
200938 , "Kids" , "MGMT" , 5:03 , 8 , 91 , "Vienna" , "Austria"
200938 , "Sex On Fire" , "Kings of Leon" , 3:25 , 9 , 77 , "Vienna" , "Austria"
200938 , "Crystalised" , "The xx" , 3:22 , 10 , 71 , "Vienna" , "Austria"
200938 , "Use Somebody" , "Kings of Leon" , 3:50 , 11 , 70 , "Vienna" , "Austria"
200938 , "Time To Pretend" , "MGMT" , 4:22 , 12 , 63 , "Vienna" , "Austria"
200938 , "In for the Kill" , "La Roux" , 4:09 , 13 , 61 , "Vienna" , "Austria"
200938 , "Islands" , "The xx" , 2:41 , 14 , 59 , "Vienna" , "Austria"
200938 , "Electric Feel" , "MGMT" , 3:49 , 15 , 57 , "Vienna" , "Austria"
200938 , "Karma Police" , "Radiohead" , 4:19 , 16 , 55 , "Vienna" , "Austria"
200938 , "The Fixer" , "Pearl Jam" , 2:58 , 17 , 55 , "Vienna" , "Austria"
200938 , "Weekend Wars" , "MGMT" , 4:10 , 18 , 54 , "Vienna" , "Austria"
200938 , "Quicksand" , "La Roux" , 3:06 , 19 , 54 , "Vienna" , "Austria"
200938 , "Basic Space" , "The xx" , 3:09 , 20 , 53 , "Vienna" , "Austria"
200938 , "Uprising" , "Muse" , 3:35 , 1 , 14 , "Salzburg" , "Austria"
200938 , "Undisclosed Desires" , "Muse" , 3:55 , 2 , 11 , "Salzburg" , "Austria"
200938 , "Resistance" , "Muse" , 5:45 , 3 , 11 , "Salzburg" , "Austria"
200938 , "Guiding Light" , "Muse" , 4:12 , 4 , 10 , "Salzburg" , "Austria"
