201127 , "Rolling in the Deep" , "Adele" , 3:46 , 1 , 238 , "Melbourne" , "Australia"
201127 , "Someone Like You" , "Adele" , 4:44 , 2 , 174 , "Melbourne" , "Australia"
201127 , "Perth" , "Bon Iver" , 4:21 , 3 , 173 , "Melbourne" , "Australia"
201127 , "Holocene" , "Bon Iver" , 5:32 , 4 , 156 , "Melbourne" , "Australia"
201127 , "Minnesota, WI" , "Bon Iver" , 3:48 , 5 , 153 , "Melbourne" , "Australia"
201127 , "Calgary" , "Bon Iver" , 4:09 , 6 , 153 , "Melbourne" , "Australia"
201127 , "Towers" , "Bon Iver" , 3:05 , 7 , 152 , "Melbourne" , "Australia"
201127 , "Michicant" , "Bon Iver" , 3:42 , 8 , 141 , "Melbourne" , "Australia"
201127 , "Hinnom, TX" , "Bon Iver" , 2:44 , 9 , 132 , "Melbourne" , "Australia"
201127 , "Set Fire to the Rain" , "Adele" , 4:01 , 10 , 125 , "Melbourne" , "Australia"
201127 , "Lisbon, OH" , "Bon Iver" , 1:33 , 11 , 121 , "Melbourne" , "Australia"
201127 , "Wash." , "Bon Iver" , 4:48 , 12 , 117 , "Melbourne" , "Australia"
201127 , "Skinny Love" , "Bon Iver" , 3:57 , 13 , 116 , "Melbourne" , "Australia"
201127 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 14 , 104 , "Melbourne" , "Australia"
201127 , "All of the Lights" , "Kanye West" , 5:00 , 15 , 95 , "Melbourne" , "Australia"
201127 , "Judas" , "Lady Gaga" , 4:12 , 16 , 91 , "Melbourne" , "Australia"
201127 , "He Won't Go" , "Adele" , 4:37 , 17 , 89 , "Melbourne" , "Australia"
201127 , "Don't You Remember" , "Adele" , 4:03 , 18 , 87 , "Melbourne" , "Australia"
201127 , "Turning Tables" , "Adele" , 4:10 , 19 , 86 , "Melbourne" , "Australia"
201127 , "The Suburbs" , "Arcade Fire" , 5:14 , 20 , 85 , "Melbourne" , "Australia"
201127 , "Perth" , "Bon Iver" , 4:21 , 1 , 52 , "Adelaide" , "Australia"
201127 , "Holocene" , "Bon Iver" , 5:32 , 2 , 46 , "Adelaide" , "Australia"
201127 , "Towers" , "Bon Iver" , 3:05 , 3 , 46 , "Adelaide" , "Australia"
201127 , "Calgary" , "Bon Iver" , 4:09 , 4 , 45 , "Adelaide" , "Australia"
201127 , "Michicant" , "Bon Iver" , 3:42 , 5 , 44 , "Adelaide" , "Australia"
201127 , "Rolling in the Deep" , "Adele" , 3:46 , 6 , 44 , "Adelaide" , "Australia"
201127 , "Minnesota, WI" , "Bon Iver" , 3:48 , 7 , 43 , "Adelaide" , "Australia"
201127 , "Hinnom, TX" , "Bon Iver" , 2:44 , 8 , 41 , "Adelaide" , "Australia"
201127 , "Skinny Love" , "Bon Iver" , 3:57 , 9 , 37 , "Adelaide" , "Australia"
201127 , "Lisbon, OH" , "Bon Iver" , 1:33 , 10 , 37 , "Adelaide" , "Australia"
201127 , "Flume" , "Bon Iver" , 3:33 , 11 , 36 , "Adelaide" , "Australia"
201127 , "Wash." , "Bon Iver" , 4:48 , 12 , 36 , "Adelaide" , "Australia"
201127 , "Beth / Rest" , "Bon Iver" , 5:16 , 13 , 30 , "Adelaide" , "Australia"
201127 , "The Wolves (Act I and II)" , "Bon Iver" , 5:20 , 14 , 28 , "Adelaide" , "Australia"
201127 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 15 , 27 , "Adelaide" , "Australia"
201127 , "Scary Monsters And Nice Sprites" , "Skrillex" , 3:17 , 16 , 27 , "Adelaide" , "Australia"
201127 , "All of the Lights" , "Kanye West" , 5:00 , 17 , 26 , "Adelaide" , "Australia"
201127 , "The Suburbs" , "Arcade Fire" , 5:14 , 18 , 25 , "Adelaide" , "Australia"
201127 , "Someone Like You" , "Adele" , 4:44 , 19 , 25 , "Adelaide" , "Australia"
201127 , "Lump Sum" , "Bon Iver" , 3:20 , 20 , 24 , "Adelaide" , "Australia"
201127 , "Rolling in the Deep" , "Adele" , 3:46 , 1 , 218 , "Sydney" , "Australia"
201127 , "Perth" , "Bon Iver" , 4:21 , 2 , 182 , "Sydney" , "Australia"
201127 , "Holocene" , "Bon Iver" , 5:32 , 3 , 174 , "Sydney" , "Australia"
201127 , "Towers" , "Bon Iver" , 3:05 , 4 , 171 , "Sydney" , "Australia"
201127 , "Calgary" , "Bon Iver" , 4:09 , 5 , 170 , "Sydney" , "Australia"
201127 , "Minnesota, WI" , "Bon Iver" , 3:48 , 6 , 165 , "Sydney" , "Australia"
201127 , "Michicant" , "Bon Iver" , 3:42 , 7 , 163 , "Sydney" , "Australia"
201127 , "Someone Like You" , "Adele" , 4:44 , 8 , 156 , "Sydney" , "Australia"
201127 , "Hinnom, TX" , "Bon Iver" , 2:44 , 9 , 145 , "Sydney" , "Australia"
201127 , "Lisbon, OH" , "Bon Iver" , 1:33 , 10 , 143 , "Sydney" , "Australia"
201127 , "Wash." , "Bon Iver" , 4:48 , 11 , 136 , "Sydney" , "Australia"
201127 , "Skinny Love" , "Bon Iver" , 3:57 , 12 , 112 , "Sydney" , "Australia"
201127 , "Set Fire to the Rain" , "Adele" , 4:01 , 13 , 103 , "Sydney" , "Australia"
201127 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 14 , 96 , "Sydney" , "Australia"
201127 , "Flume" , "Bon Iver" , 3:33 , 15 , 91 , "Sydney" , "Australia"
201127 , "All of the Lights" , "Kanye West" , 5:00 , 16 , 91 , "Sydney" , "Australia"
201127 , "Beth / Rest" , "Bon Iver" , 5:16 , 17 , 90 , "Sydney" , "Australia"
201127 , "Don't You Remember" , "Adele" , 4:03 , 18 , 87 , "Sydney" , "Australia"
201127 , "Undercover Martyn" , "Two Door Cinema Club" , 2:48 , 19 , 87 , "Sydney" , "Australia"
201127 , "Judas" , "Lady Gaga" , 4:12 , 20 , 87 , "Sydney" , "Australia"
201127 , "Lonely Day" , "System of a Down" , 2:47 , 1 , 8 , "Linz" , "Austria"
201127 , "Watercolour" , "Pendulum" , 3:30 , 2 , 7 , "Linz" , "Austria"
201127 , "Gold Cobra" , "Limp Bizkit" , 3:54 , 3 , 6 , "Linz" , "Austria"
201127 , "Teardrop" , "Massive Attack" , 5:30 , 4 , 6 , "Linz" , "Austria"
201127 , "Witchcraft" , "Pendulum" , 4:13 , 5 , 6 , "Linz" , "Austria"
201127 , "Walk" , "Foo Fighters" , 4:16 , 6 , 6 , "Linz" , "Austria"
201127 , "Shotgun" , "Limp Bizkit" , 4:33 , 7 , 6 , "Linz" , "Austria"
201127 , "Just Can't Get Enough" , "Black Eyed Peas" , 3:41 , 8 , 6 , "Linz" , "Austria"
201127 , "Undisclosed Desires" , "Muse" , 3:55 , 9 , 6 , "Linz" , "Austria"
201127 , "Rolling in the Deep" , "Adele" , 3:46 , 10 , 6 , "Linz" , "Austria"
201127 , "Miss the Misery" , "Foo Fighters" , 4:30 , 11 , 6 , "Linz" , "Austria"
201127 , "The Vulture" , "Pendulum" , 4:03 , 12 , 6 , "Linz" , "Austria"
201127 , "Can't Stop" , "Red Hot Chili Peppers" , 4:28 , 13 , 5 , "Linz" , "Austria"
201127 , "Savior" , "Rise Against" , 4:02 , 14 , 5 , "Linz" , "Austria"
201127 , "Best of You" , "Foo Fighters" , 4:15 , 15 , 5 , "Linz" , "Austria"
201127 , "These Days" , "Foo Fighters" , 4:58 , 16 , 5 , "Linz" , "Austria"
201127 , "Grenade" , "Bruno Mars" , 3:42 , 17 , 5 , "Linz" , "Austria"
201127 , "Everlong" , "Foo Fighters" , 4:09 , 18 , 5 , "Linz" , "Austria"
201127 , "Shark Attack" , "Limp Bizkit" , 3:27 , 19 , 5 , "Linz" , "Austria"
201127 , "Bring it Back" , "Limp Bizkit" , 2:17 , 20 , 5 , "Linz" , "Austria"
201127 , "Islands" , "The xx" , 2:41 , 1 , 13 , "Graz" , "Austria"
201127 , "Witchcraft" , "Pendulum" , 4:13 , 2 , 13 , "Graz" , "Austria"
201127 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 3 , 12 , "Graz" , "Austria"
201127 , "The Cave" , "Mumford &amp; Sons" , 4:00 , 4 , 11 , "Graz" , "Austria"
201127 , "Where the Dead Ships Dwell" , "In Flames" , 4:25 , 5 , 11 , "Graz" , "Austria"
201127 , "Still Counting" , "Volbeat" , 4:22 , 6 , 10 , "Graz" , "Austria"
201127 , "Walk" , "Foo Fighters" , 4:16 , 7 , 10 , "Graz" , "Austria"
201127 , "Chop Suey!" , "System of a Down" , 3:31 , 8 , 10 , "Graz" , "Austria"
201127 , "VCR" , "The xx" , 2:56 , 9 , 10 , "Graz" , "Austria"
201127 , "Young Blood" , "The Naked and Famous" , 4:07 , 10 , 9 , "Graz" , "Austria"
201127 , "Deliver Us" , "In Flames" , 3:30 , 11 , 9 , "Graz" , "Austria"
201127 , "Lonely Day" , "System of a Down" , 2:47 , 12 , 9 , "Graz" , "Austria"
201127 , "The Pretender" , "Foo Fighters" , 4:28 , 13 , 9 , "Graz" , "Austria"
201127 , "Nothing Else Matters" , "Metallica" , 6:29 , 14 , 9 , "Graz" , "Austria"
201127 , "Rope" , "Foo Fighters" , 4:18 , 15 , 9 , "Graz" , "Austria"
201127 , "Odessa" , "Caribou" , 5:16 , 16 , 9 , "Graz" , "Austria"
201127 , "Timshel" , "Mumford &amp; Sons" , 3:22 , 17 , 9 , "Graz" , "Austria"
201127 , "Toxicity" , "System of a Down" , 4:46 , 18 , 9 , "Graz" , "Austria"
201127 , "Everlong" , "Foo Fighters" , 4:09 , 19 , 9 , "Graz" , "Austria"
201127 , "These Days" , "Foo Fighters" , 4:58 , 20 , 8 , "Graz" , "Austria"
201127 , "Calgary" , "Bon Iver" , 4:09 , 1 , 61 , "Vienna" , "Austria"
201127 , "Perth" , "Bon Iver" , 4:21 , 2 , 58 , "Vienna" , "Austria"
201127 , "Minnesota, WI" , "Bon Iver" , 3:48 , 3 , 57 , "Vienna" , "Austria"
201127 , "Towers" , "Bon Iver" , 3:05 , 4 , 54 , "Vienna" , "Austria"
201127 , "Holocene" , "Bon Iver" , 5:32 , 5 , 52 , "Vienna" , "Austria"
201127 , "Michicant" , "Bon Iver" , 3:42 , 6 , 51 , "Vienna" , "Austria"
201127 , "Lisbon, OH" , "Bon Iver" , 1:33 , 7 , 50 , "Vienna" , "Austria"
201127 , "Shell Games" , "Bright Eyes" , 3:56 , 8 , 50 , "Vienna" , "Austria"
201127 , "Hinnom, TX" , "Bon Iver" , 2:44 , 9 , 50 , "Vienna" , "Austria"
201127 , "Rolling in the Deep" , "Adele" , 3:46 , 10 , 48 , "Vienna" , "Austria"
201127 , "The Suburbs" , "Arcade Fire" , 5:14 , 11 , 46 , "Vienna" , "Austria"
201127 , "Wash." , "Bon Iver" , 4:48 , 12 , 46 , "Vienna" , "Austria"
201127 , "Ready To Start" , "Arcade Fire" , 4:14 , 13 , 43 , "Vienna" , "Austria"
201127 , "Set Fire to the Rain" , "Adele" , 4:01 , 14 , 41 , "Vienna" , "Austria"
201127 , "Flume" , "Bon Iver" , 3:33 , 15 , 38 , "Vienna" , "Austria"
201127 , "First Day Of My Life" , "Bright Eyes" , 3:02 , 16 , 38 , "Vienna" , "Austria"
201127 , "The Cave" , "Mumford &amp; Sons" , 4:00 , 17 , 37 , "Vienna" , "Austria"
201127 , "Lua" , "Bright Eyes" , 4:27 , 18 , 37 , "Vienna" , "Austria"
201127 , "Young Blood" , "The Naked and Famous" , 4:07 , 19 , 37 , "Vienna" , "Austria"
201127 , "Modern Man" , "Arcade Fire" , 4:40 , 20 , 36 , "Vienna" , "Austria"
201127 , "Taken For A Fool" , "The Strokes" , 3:24 , 1 , 5 , "Salzburg" , "Austria"
201127 , "She's Thunderstorms" , "Arctic Monkeys" , 3:54 , 2 , 4 , "Salzburg" , "Austria"
201127 , "Machu Picchu" , "The Strokes" , 3:29 , 3 , 4 , "Salzburg" , "Austria"
