200943 , "Uprising" , "Muse" , 3:35 , 1 , 197 , "Melbourne" , "Australia"
200943 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 2 , 147 , "Melbourne" , "Australia"
200943 , "Lisztomania" , "Phoenix" , 4:00 , 3 , 147 , "Melbourne" , "Australia"
200943 , "Karma Police" , "Radiohead" , 4:19 , 4 , 145 , "Melbourne" , "Australia"
200943 , "Resistance" , "Muse" , 5:45 , 5 , 141 , "Melbourne" , "Australia"
200943 , "Skinny Love" , "Bon Iver" , 3:57 , 6 , 138 , "Melbourne" , "Australia"
200943 , "Undisclosed Desires" , "Muse" , 3:55 , 7 , 138 , "Melbourne" , "Australia"
200943 , "1901" , "Phoenix" , 3:12 , 8 , 135 , "Melbourne" , "Australia"
200943 , "Bulletproof" , "La Roux" , 3:17 , 9 , 134 , "Melbourne" , "Australia"
200943 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 10 , 130 , "Melbourne" , "Australia"
200943 , "Supermassive Black Hole" , "Muse" , 3:30 , 11 , 129 , "Melbourne" , "Australia"
200943 , "Paranoid Android" , "Radiohead" , 6:27 , 12 , 126 , "Melbourne" , "Australia"
200943 , "Electric Feel" , "MGMT" , 3:49 , 13 , 120 , "Melbourne" , "Australia"
200943 , "Islands" , "The xx" , 2:41 , 14 , 118 , "Melbourne" , "Australia"
200943 , "Unnatural Selection" , "Muse" , 6:54 , 15 , 116 , "Melbourne" , "Australia"
200943 , "Starlight" , "Muse" , 4:00 , 16 , 116 , "Melbourne" , "Australia"
200943 , "Knights of Cydonia" , "Muse" , 6:07 , 17 , 114 , "Melbourne" , "Australia"
200943 , "Kids" , "MGMT" , 5:03 , 18 , 113 , "Melbourne" , "Australia"
200943 , "Time Is Running Out" , "Muse" , 3:56 , 19 , 113 , "Melbourne" , "Australia"
200943 , "MK Ultra" , "Muse" , 4:06 , 20 , 112 , "Melbourne" , "Australia"
200943 , "Uprising" , "Muse" , 3:35 , 1 , 61 , "Adelaide" , "Australia"
200943 , "Lisztomania" , "Phoenix" , 4:00 , 2 , 44 , "Adelaide" , "Australia"
200943 , "Resistance" , "Muse" , 5:45 , 3 , 42 , "Adelaide" , "Australia"
200943 , "Supermassive Black Hole" , "Muse" , 3:30 , 4 , 41 , "Adelaide" , "Australia"
200943 , "Bulletproof" , "La Roux" , 3:17 , 5 , 40 , "Adelaide" , "Australia"
200943 , "1901" , "Phoenix" , 3:12 , 6 , 40 , "Adelaide" , "Australia"
200943 , "Undisclosed Desires" , "Muse" , 3:55 , 7 , 40 , "Adelaide" , "Australia"
200943 , "Skinny Love" , "Bon Iver" , 3:57 , 8 , 39 , "Adelaide" , "Australia"
200943 , "Electric Feel" , "MGMT" , 3:49 , 9 , 38 , "Adelaide" , "Australia"
200943 , "Paranoid Android" , "Radiohead" , 6:27 , 10 , 38 , "Adelaide" , "Australia"
