200905 , "Ulysses" , "Franz Ferdinand" , 3:08 , 6 , 17 , "Linz" , "Austria"
200905 , "Schwarz zu blau" , "Peter Fox" , 3:34 , 7 , 17 , "Linz" , "Austria"
200905 , "Arbeit nervt" , "Deichkind" , 3:19 , 8 , 17 , "Linz" , "Austria"
200905 , "The Pretender" , "Foo Fighters" , 4:28 , 9 , 17 , "Linz" , "Austria"
200905 , "Hand in Hand" , "Beatsteaks" , 2:38 , 10 , 16 , "Linz" , "Austria"
200905 , "Sex On Fire" , "Kings of Leon" , 3:25 , 11 , 16 , "Linz" , "Austria"
200905 , "Swing Life Away" , "Rise Against" , 3:20 , 12 , 15 , "Linz" , "Austria"
200905 , "Knights of Cydonia" , "Muse" , 6:07 , 13 , 14 , "Linz" , "Austria"
200905 , "Human" , "The Killers" , 4:06 , 14 , 14 , "Linz" , "Austria"
200905 , "Supermassive Black Hole" , "Muse" , 3:30 , 15 , 14 , "Linz" , "Austria"
200905 , "Hero Of War" , "Rise Against" , 4:13 , 16 , 14 , "Linz" , "Austria"
200905 , "Song To Say Goodbye" , "Placebo" , 3:33 , 17 , 14 , "Linz" , "Austria"
200905 , "Whereabouts Unknown" , "Rise Against" , 4:02 , 18 , 13 , "Linz" , "Austria"
200905 , "Ready To Fall" , "Rise Against" , 3:48 , 19 , 13 , "Linz" , "Austria"
200905 , "Naive" , "The Kooks" , 3:23 , 20 , 13 , "Linz" , "Austria"
200905 , "Sex On Fire" , "Kings of Leon" , 3:25 , 1 , 34 , "Graz" , "Austria"
200905 , "Human" , "The Killers" , 4:06 , 2 , 32 , "Graz" , "Austria"
200905 , "Time To Pretend" , "MGMT" , 4:22 , 3 , 31 , "Graz" , "Austria"
200905 , "Alles Neu" , "Peter Fox" , 4:10 , 4 , 30 , "Graz" , "Austria"
200905 , "Closer" , "Kings of Leon" , 3:56 , 5 , 29 , "Graz" , "Austria"
200905 , "This Is The Life" , "Amy Macdonald" , 3:06 , 6 , 28 , "Graz" , "Austria"
200905 , "Wonderwall" , "Oasis" , 4:18 , 7 , 27 , "Graz" , "Austria"
200905 , "Ulysses" , "Franz Ferdinand" , 3:08 , 8 , 27 , "Graz" , "Austria"
200905 , "Kids" , "MGMT" , 5:03 , 9 , 25 , "Graz" , "Austria"
200905 , "Viva La Vida" , "Coldplay" , 4:00 , 10 , 25 , "Graz" , "Austria"
200905 , "Use Somebody" , "Kings of Leon" , 3:50 , 11 , 24 , "Graz" , "Austria"
200905 , "Lucid Dreams" , "Franz Ferdinand" , 3:40 , 12 , 23 , "Graz" , "Austria"
200905 , "No You Girls" , "Franz Ferdinand" , 3:40 , 13 , 22 , "Graz" , "Austria"
200905 , "Turn It On" , "Franz Ferdinand" , 2:19 , 14 , 22 , "Graz" , "Austria"
200905 , "I Kissed a Girl" , "Katy Perry" , 2:59 , 15 , 22 , "Graz" , "Austria"
200905 , "Manhattan" , "Kings of Leon" , 3:23 , 16 , 22 , "Graz" , "Austria"
200905 , "Revelry" , "Kings of Leon" , 3:21 , 17 , 21 , "Graz" , "Austria"
200905 , "Somebody Told Me" , "The Killers" , 3:17 , 18 , 21 , "Graz" , "Austria"
200905 , "The Bitter End" , "Placebo" , 3:10 , 19 , 21 , "Graz" , "Austria"
200905 , "Clocks" , "Coldplay" , 4:11 , 20 , 21 , "Graz" , "Austria"
200905 , "Time To Pretend" , "MGMT" , 4:22 , 1 , 156 , "Vienna" , "Austria"
200905 , "Kids" , "MGMT" , 5:03 , 2 , 154 , "Vienna" , "Austria"
200905 , "Alles Neu" , "Peter Fox" , 4:10 , 3 , 134 , "Vienna" , "Austria"
200905 , "Viva La Vida" , "Coldplay" , 4:00 , 4 , 132 , "Vienna" , "Austria"
200905 , "Electric Feel" , "MGMT" , 3:49 , 5 , 126 , "Vienna" , "Austria"
200905 , "Sex On Fire" , "Kings of Leon" , 3:25 , 6 , 119 , "Vienna" , "Austria"
200905 , "Ulysses" , "Franz Ferdinand" , 3:08 , 7 , 118 , "Vienna" , "Austria"
200905 , "Arbeit Mach Frei" , "The Libertines" , 1:13 , 8 , 111 , "Vienna" , "Austria"
200905 , "That's Not My Name" , "The Ting Tings" , 5:11 , 9 , 107 , "Vienna" , "Austria"
200905 , "Use Somebody" , "Kings of Leon" , 3:50 , 10 , 105 , "Vienna" , "Austria"
200905 , "This Is The Life" , "Amy Macdonald" , 3:06 , 11 , 103 , "Vienna" , "Austria"
200905 , "Weekend Wars" , "MGMT" , 4:10 , 12 , 100 , "Vienna" , "Austria"
200905 , "Wonderwall" , "Oasis" , 4:18 , 13 , 98 , "Vienna" , "Austria"
200905 , "Supermassive Black Hole" , "Muse" , 3:30 , 14 , 97 , "Vienna" , "Austria"
200905 , "Take Me Out" , "Franz Ferdinand" , 4:00 , 15 , 94 , "Vienna" , "Austria"
200905 , "I'm Yours" , "Jason Mraz" , 4:01 , 16 , 89 , "Vienna" , "Austria"
200905 , "Teardrop" , "Massive Attack" , 5:30 , 17 , 89 , "Vienna" , "Austria"
200905 , "Clocks" , "Coldplay" , 4:11 , 18 , 89 , "Vienna" , "Austria"
200905 , "Lucid Dreams" , "Franz Ferdinand" , 3:40 , 19 , 87 , "Vienna" , "Austria"
200905 , "Human" , "The Killers" , 4:06 , 20 , 86 , "Vienna" , "Austria"
200905 , "Sex On Fire" , "Kings of Leon" , 3:25 , 1 , 15 , "Salzburg" , "Austria"
200905 , "Wonderwall" , "Oasis" , 4:18 , 2 , 12 , "Salzburg" , "Austria"
200905 , "Ulysses" , "Franz Ferdinand" , 3:08 , 3 , 10 , "Salzburg" , "Austria"
200905 , "Closer" , "Kings of Leon" , 3:56 , 4 , 10 , "Salzburg" , "Austria"
200905 , "That's Not My Name" , "The Ting Tings" , 5:11 , 5 , 9 , "Salzburg" , "Austria"
200905 , "Reptilia" , "The Strokes" , 3:39 , 6 , 9 , "Salzburg" , "Austria"
200905 , "Time To Pretend" , "MGMT" , 4:22 , 7 , 8 , "Salzburg" , "Austria"
200905 , "Bite Hard" , "Franz Ferdinand" , 3:23 , 8 , 8 , "Salzburg" , "Austria"
200905 , "Be Somebody" , "Kings of Leon" , 3:46 , 9 , 8 , "Salzburg" , "Austria"
200905 , "Lucid Dreams" , "Franz Ferdinand" , 3:40 , 10 , 8 , "Salzburg" , "Austria"
200905 , "Keine Lust" , "Rammstein" , 3:42 , 11 , 8 , "Salzburg" , "Austria"
200905 , "Sway" , "The Kooks" , 3:36 , 12 , 8 , "Salzburg" , "Austria"
200905 , "Banquet" , "Bloc Party" , 3:20 , 13 , 8 , "Salzburg" , "Austria"
200905 , "Talk" , "Coldplay" , 5:10 , 14 , 8 , "Salzburg" , "Austria"
200905 , "Rock &amp; Roll Queen" , "The Subways" , 2:48 , 15 , 7 , "Salzburg" , "Austria"
200905 , "Automatic Stop" , "The Strokes" , 3:20 , 16 , 7 , "Salzburg" , "Austria"
200905 , "Dani California" , "Red Hot Chili Peppers" , 4:42 , 17 , 7 , "Salzburg" , "Austria"
200905 , "Viva La Vida" , "Coldplay" , 4:00 , 18 , 7 , "Salzburg" , "Austria"
200905 , "Arbeit nervt" , "Deichkind" , 3:19 , 19 , 7 , "Salzburg" , "Austria"
200905 , "High Noon" , "Kruder &amp; Dorfmeister" , 6:13 , 20 , 7 , "Salzburg" , "Austria"
200905 , "Arbeit nervt" , "Deichkind" , 3:19 , 1 , 18 , "Innsbruck" , "Austria"
200905 , "Kids" , "MGMT" , 5:03 , 2 , 17 , "Innsbruck" , "Austria"
200905 , "Time To Pretend" , "MGMT" , 4:22 , 3 , 17 , "Innsbruck" , "Austria"
200905 , "Alles Neu" , "Peter Fox" , 4:10 , 4 , 17 , "Innsbruck" , "Austria"
200905 , "Ulysses" , "Franz Ferdinand" , 3:08 , 5 , 15 , "Innsbruck" , "Austria"
200905 , "That's Not My Name" , "The Ting Tings" , 5:11 , 6 , 14 , "Innsbruck" , "Austria"
200905 , "Arbeit Mach Frei" , "The Libertines" , 1:13 , 7 , 14 , "Innsbruck" , "Austria"
200905 , "Remmidemmi (Yippie Yippie Yeah)" , "Deichkind" , 4:43 , 8 , 14 , "Innsbruck" , "Austria"
200905 , "Luftbahn" , "Deichkind" , 4:21 , 9 , 14 , "Innsbruck" , "Austria"
200905 , "Viva La Vida" , "Coldplay" , 4:00 , 10 , 13 , "Innsbruck" , "Austria"
200905 , "Always Where I Need To Be" , "The Kooks" , 2:40 , 11 , 13 , "Innsbruck" , "Austria"
200905 , "Rock &amp; Roll Queen" , "The Subways" , 2:48 , 12 , 13 , "Innsbruck" , "Austria"
200905 , "The Fear" , "Lily Allen" , 3:29 , 13 , 12 , "Innsbruck" , "Austria"
200905 , "Electric Feel" , "MGMT" , 3:49 , 14 , 11 , "Innsbruck" , "Austria"
200905 , "Wonderwall" , "Oasis" , 4:18 , 15 , 11 , "Innsbruck" , "Austria"
200905 , "Allein Allein" , "Polarkreis 18" , 4:03 , 16 , 11 , "Innsbruck" , "Austria"
200905 , "Life in Technicolor" , "Coldplay" , 2:28 , 17 , 10 , "Innsbruck" , "Austria"
200905 , "The Pretender" , "Foo Fighters" , 4:28 , 18 , 10 , "Innsbruck" , "Austria"
200905 , "Sex On Fire" , "Kings of Leon" , 3:25 , 19 , 10 , "Innsbruck" , "Austria"
200905 , "Gut dabei" , "Deichkind" , 3:25 , 20 , 10 , "Innsbruck" , "Austria"
200905 , "Манифест" , "Ляпис Трубецкой" , 3:50 , 1 , 69 , "Minsk" , "Belarus"
200905 , "Viva La Vida" , "Coldplay" , 4:00 , 2 , 56 , "Minsk" , "Belarus"
200905 , "Ulysses" , "Franz Ferdinand" , 3:08 , 3 , 53 , "Minsk" , "Belarus"
200905 , "Belarus Freedom" , "Ляпис Трубецкой" , 3:47 , 4 , 51 , "Minsk" , "Belarus"
200905 , "Рок-пупсы" , "Ляпис Трубецкой" , 3:13 , 5 , 47 , "Minsk" , "Belarus"
200905 , "Жлоб" , "Ляпис Трубецкой" , 2:56 , 6 , 47 , "Minsk" , "Belarus"
200905 , "Violet Hill" , "Coldplay" , 3:41 , 7 , 47 , "Minsk" , "Belarus"
200905 , "Supermassive Black Hole" , "Muse" , 3:30 , 8 , 47 , "Minsk" , "Belarus"
200905 , "Turn It On" , "Franz Ferdinand" , 2:19 , 9 , 45 , "Minsk" , "Belarus"
200905 , "No You Girls" , "Franz Ferdinand" , 3:40 , 10 , 44 , "Minsk" , "Belarus"
200905 , "Twilight Omens" , "Franz Ferdinand" , 2:28 , 11 , 42 , "Minsk" , "Belarus"
200905 , "Галактика" , "Ляпис Трубецкой" , 3:18 , 12 , 42 , "Minsk" , "Belarus"
200905 , "Bite Hard" , "Franz Ferdinand" , 3:23 , 13 , 41 , "Minsk" , "Belarus"
200905 , "Invaders Must Die" , "The Prodigy" , 4:55 , 14 , 41 , "Minsk" , "Belarus"
200905 , "12 обезьян" , "Ляпис Трубецкой" , 2:53 , 15 , 40 , "Minsk" , "Belarus"
200905 , "Life in Technicolor" , "Coldplay" , 2:28 , 16 , 39 , "Minsk" , "Belarus"
200905 , "I Wanna Be Your Boyfriend" , "Ляпис Трубецкой" , 2:14 , 17 , 38 , "Minsk" , "Belarus"
200905 , "What She Came For" , "Franz Ferdinand" , 3:50 , 18 , 38 , "Minsk" , "Belarus"
200905 , "Зорачкі" , "Ляпис Трубецкой" , 3:45 , 19 , 38 , "Minsk" , "Belarus"
200905 , "Strawberry Swing" , "Coldplay" , 4:08 , 20 , 38 , "Minsk" , "Belarus"
200905 , "Kids" , "MGMT" , 5:03 , 1 , 12 , "Liège" , "Belgium"
200905 , "Time To Pretend" , "MGMT" , 4:22 , 2 , 11 , "Liège" , "Belgium"
200905 , "When the Sun Goes Down" , "Arctic Monkeys" , 3:19 , 3 , 8 , "Liège" , "Belgium"
200905 , "Starlight" , "Muse" , 4:00 , 4 , 8 , "Liège" , "Belgium"
200905 , "Weekend Wars" , "MGMT" , 4:10 , 5 , 8 , "Liège" , "Belgium"
200905 , "Ulysses" , "Franz Ferdinand" , 3:08 , 6 , 8 , "Liège" , "Belgium"
200905 , "Jeune et con" , "Saez" , 3:55 , 7 , 8 , "Liège" , "Belgium"
200905 , "Take Me Out" , "Franz Ferdinand" , 4:00 , 8 , 8 , "Liège" , "Belgium"
200905 , "Time Is Running Out" , "Muse" , 3:56 , 9 , 8 , "Liège" , "Belgium"
200905 , "Viva La Vida" , "Coldplay" , 4:00 , 10 , 7 , "Liège" , "Belgium"
200905 , "Of Moons, Birds &amp; Monsters" , "MGMT" , 4:46 , 11 , 7 , "Liège" , "Belgium"
200905 , "Apocalypse Please" , "Muse" , 4:12 , 12 , 7 , "Liège" , "Belgium"
200905 , "Knights of Cydonia" , "Muse" , 6:07 , 13 , 7 , "Liège" , "Belgium"
200905 , "Zombie" , "The Cranberries" , 5:09 , 14 , 7 , "Liège" , "Belgium"
200905 , "Reckoner" , "Radiohead" , 4:49 , 15 , 7 , "Liège" , "Belgium"
200905 , "The Youth" , "MGMT" , 3:48 , 16 , 7 , "Liège" , "Belgium"
200905 , "Human" , "The Killers" , 4:06 , 17 , 7 , "Liège" , "Belgium"
200905 , "Boys Don't Cry" , "The Cure" , 2:38 , 18 , 7 , "Liège" , "Belgium"
200905 , "Hysteria" , "Muse" , 3:47 , 19 , 7 , "Liège" , "Belgium"
200905 , "Electric Feel" , "MGMT" , 3:49 , 20 , 7 , "Liège" , "Belgium"
200905 , "Viva La Vida" , "Coldplay" , 4:00 , 1 , 60 , "Brussels" , "Belgium"
200905 , "The Fear" , "Lily Allen" , 3:29 , 2 , 55 , "Brussels" , "Belgium"
200905 , "Kids" , "MGMT" , 5:03 , 3 , 54 , "Brussels" , "Belgium"
200905 , "Take Me Out" , "Franz Ferdinand" , 4:00 , 4 , 50 , "Brussels" , "Belgium"
200905 , "Arbeit Mach Frei" , "The Libertines" , 1:13 , 5 , 49 , "Brussels" , "Belgium"
200905 , "Sex On Fire" , "Kings of Leon" , 3:25 , 6 , 45 , "Brussels" , "Belgium"
200905 , "Electric Feel" , "MGMT" , 3:49 , 7 , 43 , "Brussels" , "Belgium"
200905 , "Use Somebody" , "Kings of Leon" , 3:50 , 8 , 43 , "Brussels" , "Belgium"
200905 , "Time To Pretend" , "MGMT" , 4:22 , 9 , 43 , "Brussels" , "Belgium"
200905 , "Song 2" , "Blur" , 2:01 , 10 , 42 , "Brussels" , "Belgium"
200905 , "Wonderwall" , "Oasis" , 4:18 , 11 , 40 , "Brussels" , "Belgium"
200905 , "Banquet" , "Bloc Party" , 3:20 , 12 , 39 , "Brussels" , "Belgium"
200905 , "This Is The Life" , "Amy Macdonald" , 3:06 , 13 , 39 , "Brussels" , "Belgium"
200905 , "Weekend Wars" , "MGMT" , 4:10 , 14 , 38 , "Brussels" , "Belgium"
200905 , "Violet Hill" , "Coldplay" , 3:41 , 15 , 38 , "Brussels" , "Belgium"
200905 , "You Know I'm No Good" , "Amy Winehouse" , 4:16 , 16 , 37 , "Brussels" , "Belgium"
200905 , "Chanson Pour Nathalie" , "Miossec" , 2:46 , 17 , 36 , "Brussels" , "Belgium"
200905 , "Monkey Gone To Heaven" , "Pixies" , 2:54 , 18 , 36 , "Brussels" , "Belgium"
200905 , "I'm Yours" , "Jason Mraz" , 4:01 , 19 , 36 , "Brussels" , "Belgium"
200905 , "White Winter Hymnal" , "Fleet Foxes" , 2:27 , 20 , 35 , "Brussels" , "Belgium"
200905 , "Use Somebody" , "Kings of Leon" , 3:50 , 1 , 38 , "Antwerp" , "Belgium"
200905 , "Sex On Fire" , "Kings of Leon" , 3:25 , 2 , 37 , "Antwerp" , "Belgium"
200905 , "Kids" , "MGMT" , 5:03 , 3 , 25 , "Antwerp" , "Belgium"
