201053 , "Bad Romance" , "Lady Gaga" , 4:55 , 1 , 187 , "Melbourne" , "Australia"
201053 , "Fireflies" , "Owl City" , 3:45 , 2 , 176 , "Melbourne" , "Australia"
201053 , "Two Weeks" , "Grizzly Bear" , 4:03 , 3 , 176 , "Melbourne" , "Australia"
201053 , "1901" , "Phoenix" , 3:12 , 4 , 173 , "Melbourne" , "Australia"
201053 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 5 , 166 , "Melbourne" , "Australia"
201053 , "Lisztomania" , "Phoenix" , 4:00 , 6 , 163 , "Melbourne" , "Australia"
201053 , "Islands" , "The xx" , 2:41 , 7 , 155 , "Melbourne" , "Australia"
201053 , "TiK ToK" , "Ke$ha" , 3:15 , 8 , 154 , "Melbourne" , "Australia"
201053 , "Cousins" , "Vampire Weekend" , 2:25 , 9 , 154 , "Melbourne" , "Australia"
201053 , "Crystalised" , "The xx" , 3:22 , 10 , 142 , "Melbourne" , "Australia"
201053 , "Horchata" , "Vampire Weekend" , 3:27 , 11 , 142 , "Melbourne" , "Australia"
201053 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 12 , 134 , "Melbourne" , "Australia"
201053 , "My Girls" , "Animal Collective" , 5:41 , 13 , 131 , "Melbourne" , "Australia"
201053 , "Heads Will Roll" , "Yeah Yeah Yeahs" , 3:42 , 14 , 130 , "Melbourne" , "Australia"
201053 , "While You Wait for the Others" , "Grizzly Bear" , 4:27 , 15 , 127 , "Melbourne" , "Australia"
201053 , "Poker Face" , "Lady Gaga" , 3:56 , 16 , 126 , "Melbourne" , "Australia"
201053 , "White Sky" , "Vampire Weekend" , 2:59 , 17 , 123 , "Melbourne" , "Australia"
201053 , "Southern Point" , "Grizzly Bear" , 5:01 , 18 , 122 , "Melbourne" , "Australia"
201053 , "Uprising" , "Muse" , 3:35 , 19 , 120 , "Melbourne" , "Australia"
201053 , "Cheerleader" , "Grizzly Bear" , 4:55 , 20 , 120 , "Melbourne" , "Australia"
201053 , "Fireflies" , "Owl City" , 3:45 , 1 , 70 , "Adelaide" , "Australia"
201053 , "Bad Romance" , "Lady Gaga" , 4:55 , 2 , 56 , "Adelaide" , "Australia"
201053 , "1901" , "Phoenix" , 3:12 , 3 , 54 , "Adelaide" , "Australia"
201053 , "Horchata" , "Vampire Weekend" , 3:27 , 4 , 49 , "Adelaide" , "Australia"
201053 , "Cousins" , "Vampire Weekend" , 2:25 , 5 , 46 , "Adelaide" , "Australia"
201053 , "Heads Will Roll" , "Yeah Yeah Yeahs" , 3:42 , 6 , 45 , "Adelaide" , "Australia"
201053 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 7 , 44 , "Adelaide" , "Australia"
201053 , "Lisztomania" , "Phoenix" , 4:00 , 8 , 43 , "Adelaide" , "Australia"
201053 , "Uprising" , "Muse" , 3:35 , 9 , 43 , "Adelaide" , "Australia"
201053 , "A-Punk" , "Vampire Weekend" , 2:17 , 10 , 42 , "Adelaide" , "Australia"
201053 , "Undisclosed Desires" , "Muse" , 3:55 , 11 , 41 , "Adelaide" , "Australia"
201053 , "Bulletproof" , "La Roux" , 3:17 , 12 , 41 , "Adelaide" , "Australia"
201053 , "Poker Face" , "Lady Gaga" , 3:56 , 13 , 40 , "Adelaide" , "Australia"
201053 , "Zero" , "Yeah Yeah Yeahs" , 4:30 , 14 , 39 , "Adelaide" , "Australia"
201053 , "California English" , "Vampire Weekend" , 2:29 , 15 , 39 , "Adelaide" , "Australia"
201053 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 16 , 39 , "Adelaide" , "Australia"
201053 , "Gold Lion" , "Yeah Yeah Yeahs" , 3:06 , 17 , 38 , "Adelaide" , "Australia"
201053 , "Starlight" , "Muse" , 4:00 , 18 , 38 , "Adelaide" , "Australia"
201053 , "Kids" , "MGMT" , 5:03 , 19 , 38 , "Adelaide" , "Australia"
201053 , "Holiday" , "Vampire Weekend" , 2:18 , 20 , 38 , "Adelaide" , "Australia"
201053 , "Bad Romance" , "Lady Gaga" , 4:55 , 1 , 201 , "Sydney" , "Australia"
201053 , "Fireflies" , "Owl City" , 3:45 , 2 , 196 , "Sydney" , "Australia"
201053 , "Two Weeks" , "Grizzly Bear" , 4:03 , 3 , 176 , "Sydney" , "Australia"
201053 , "TiK ToK" , "Ke$ha" , 3:15 , 4 , 172 , "Sydney" , "Australia"
201053 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 5 , 170 , "Sydney" , "Australia"
201053 , "1901" , "Phoenix" , 3:12 , 6 , 166 , "Sydney" , "Australia"
201053 , "Lisztomania" , "Phoenix" , 4:00 , 7 , 159 , "Sydney" , "Australia"
201053 , "Heads Will Roll" , "Yeah Yeah Yeahs" , 3:42 , 8 , 151 , "Sydney" , "Australia"
201053 , "Cousins" , "Vampire Weekend" , 2:25 , 9 , 150 , "Sydney" , "Australia"
201053 , "Horchata" , "Vampire Weekend" , 3:27 , 10 , 145 , "Sydney" , "Australia"
201053 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 11 , 142 , "Sydney" , "Australia"
201053 , "Uprising" , "Muse" , 3:35 , 12 , 137 , "Sydney" , "Australia"
201053 , "Undisclosed Desires" , "Muse" , 3:55 , 13 , 134 , "Sydney" , "Australia"
201053 , "Poker Face" , "Lady Gaga" , 3:56 , 14 , 132 , "Sydney" , "Australia"
201053 , "Zero" , "Yeah Yeah Yeahs" , 4:30 , 15 , 132 , "Sydney" , "Australia"
201053 , "Skinny Love" , "Bon Iver" , 3:57 , 16 , 129 , "Sydney" , "Australia"
201053 , "Islands" , "The xx" , 2:41 , 17 , 127 , "Sydney" , "Australia"
201053 , "My Girls" , "Animal Collective" , 5:41 , 18 , 126 , "Sydney" , "Australia"
201053 , "Crystalised" , "The xx" , 3:22 , 19 , 125 , "Sydney" , "Australia"
201053 , "Paparazzi" , "Lady Gaga" , 3:29 , 20 , 119 , "Sydney" , "Australia"
201053 , "Kids" , "MGMT" , 5:03 , 1 , 13 , "Linz" , "Austria"
201053 , "Sex On Fire" , "Kings of Leon" , 3:25 , 2 , 13 , "Linz" , "Austria"
201053 , "A-Punk" , "Vampire Weekend" , 2:17 , 3 , 12 , "Linz" , "Austria"
201053 , "Clocks" , "Coldplay" , 4:10 , 4 , 11 , "Linz" , "Austria"
201053 , "Time To Pretend" , "MGMT" , 4:22 , 5 , 11 , "Linz" , "Austria"
201053 , "The Pretender" , "Foo Fighters" , 4:28 , 6 , 11 , "Linz" , "Austria"
201053 , "Bulletproof" , "La Roux" , 3:17 , 7 , 11 , "Linz" , "Austria"
201053 , "Kings and Queens" , "30 Seconds to Mars" , 5:46 , 8 , 10 , "Linz" , "Austria"
201053 , "Gewinner" , "Clueso" , 3:46 , 9 , 10 , "Linz" , "Austria"
201053 , "Luftbahn" , "Deichkind" , 4:21 , 10 , 10 , "Linz" , "Austria"
201053 , "Omen" , "The Prodigy" , 3:55 , 11 , 10 , "Linz" , "Austria"
201053 , "Wonderwall" , "Oasis" , 4:18 , 12 , 10 , "Linz" , "Austria"
201053 , "I Gotta Feeling" , "Black Eyed Peas" , 4:49 , 13 , 10 , "Linz" , "Austria"
201053 , "Yellow" , "Coldplay" , 4:28 , 14 , 9 , "Linz" , "Austria"
201053 , "Teardrop" , "Massive Attack" , 5:30 , 15 , 9 , "Linz" , "Austria"
201053 , "Wheels" , "Foo Fighters" , 4:37 , 16 , 9 , "Linz" , "Austria"
201053 , "Arbeit nervt" , "Deichkind" , 3:19 , 17 , 9 , "Linz" , "Austria"
201053 , "Closer" , "Kings of Leon" , 3:56 , 18 , 9 , "Linz" , "Austria"
201053 , "Bleed It Out" , "Linkin Park" , 2:44 , 19 , 9 , "Linz" , "Austria"
201053 , "Use Somebody" , "Kings of Leon" , 3:50 , 20 , 9 , "Linz" , "Austria"
