201134 , "Savior" , "Rise Against" , 4:02 , 5 , 6 , "Linz" , "Austria"
201134 , "Everlong" , "Foo Fighters" , 4:09 , 6 , 6 , "Linz" , "Austria"
201134 , "Naive" , "The Kooks" , 3:23 , 7 , 6 , "Linz" , "Austria"
201134 , "Rope" , "Foo Fighters" , 4:18 , 8 , 6 , "Linz" , "Austria"
201134 , "Make It Stop (September's Children)" , "Rise Against" , 3:55 , 9 , 6 , "Linz" , "Austria"
201134 , "Arbeit nervt" , "Deichkind" , 3:19 , 10 , 6 , "Linz" , "Austria"
201134 , "Satellite" , "Rise Against" , 3:59 , 11 , 5 , "Linz" , "Austria"
201134 , "Long Road to Ruin" , "Foo Fighters" , 3:44 , 12 , 5 , "Linz" , "Austria"
201134 , "Down With the Sickness" , "Disturbed" , 4:37 , 13 , 5 , "Linz" , "Austria"
201134 , "Asylum" , "Disturbed" , 4:36 , 14 , 5 , "Linz" , "Austria"
201134 , "Indestructible" , "Disturbed" , 4:37 , 15 , 5 , "Linz" , "Austria"
201134 , "Die Toten auf dem Rücksitz" , "Thees Uhlmann" , 4:03 , 16 , 5 , "Linz" , "Austria"
201134 , "Bad Company" , "Five Finger Death Punch" , 4:21 , 17 , 5 , "Linz" , "Austria"
201134 , "Tears Don'T Fall" , "Bullet For My Valentine" , 4:39 , 18 , 5 , "Linz" , "Austria"
201134 , "The Middle" , "Jimmy Eat World" , 2:48 , 19 , 5 , "Linz" , "Austria"
201134 , "Wonderful Life" , "Hurts" , 4:13 , 20 , 5 , "Linz" , "Austria"
201134 , "Kryptonite" , "3 Doors Down" , 3:52 , 1 , 9 , "Graz" , "Austria"
201134 , "Still Counting" , "Volbeat" , 4:22 , 2 , 8 , "Graz" , "Austria"
201134 , "Arlandria" , "Foo Fighters" , 4:27 , 3 , 7 , "Graz" , "Austria"
201134 , "Yellow" , "Coldplay" , 4:28 , 4 , 6 , "Graz" , "Austria"
201134 , "Ethiopia" , "Red Hot Chili Peppers" , 2:57 , 5 , 6 , "Graz" , "Austria"
201134 , "The Pretender" , "Foo Fighters" , 4:28 , 6 , 6 , "Graz" , "Austria"
201134 , "Thunder" , "The Prodigy" , 4:07 , 7 , 6 , "Graz" , "Austria"
201134 , "The Adventures of Rain Dance Maggie" , "Red Hot Chili Peppers" , 4:44 , 8 , 5 , "Graz" , "Austria"
201134 , "Die letzte Gang der Stadt" , "Casper" , 2:51 , 9 , 5 , "Graz" , "Austria"
201134 , "Island In The Sun" , "Weezer" , 3:20 , 10 , 5 , "Graz" , "Austria"
201134 , "Scorpions" , "Nero" , 5:56 , 11 , 5 , "Graz" , "Austria"
201134 , "Must Be The Feeling" , "Nero" , 4:03 , 12 , 5 , "Graz" , "Austria"
201134 , "Brendan's Death Song" , "Red Hot Chili Peppers" , 3:41 , 13 , 5 , "Graz" , "Austria"
201134 , "Phantom Limb" , "The Shins" , 4:51 , 14 , 5 , "Graz" , "Austria"
201134 , "Best of You" , "Foo Fighters" , 4:15 , 15 , 5 , "Graz" , "Austria"
201134 , "These Days" , "Foo Fighters" , 4:58 , 16 , 5 , "Graz" , "Austria"
201134 , "Self Esteem" , "The Offspring" , 4:17 , 17 , 5 , "Graz" , "Austria"
201134 , "Marathon" , "Tennis" , 2:44 , 18 , 5 , "Graz" , "Austria"
201134 , "Right Here, Right Now" , "Fatboy Slim" , 3:54 , 19 , 5 , "Graz" , "Austria"
201134 , "The Peacock" , "Beirut" , 2:26 , 20 , 5 , "Graz" , "Austria"
201134 , "Monarchy of Roses" , "Red Hot Chili Peppers" , 3:59 , 1 , 61 , "Vienna" , "Austria"
201134 , "Ethiopia" , "Red Hot Chili Peppers" , 2:57 , 2 , 54 , "Vienna" , "Austria"
201134 , "Factory of Faith" , "Red Hot Chili Peppers" , 4:47 , 3 , 54 , "Vienna" , "Austria"
201134 , "The Adventures of Rain Dance Maggie" , "Red Hot Chili Peppers" , 4:44 , 4 , 54 , "Vienna" , "Austria"
201134 , "Brendan's Death Song" , "Red Hot Chili Peppers" , 3:41 , 5 , 52 , "Vienna" , "Austria"
201134 , "Did I Let You Know" , "Red Hot Chili Peppers" , 2:55 , 6 , 49 , "Vienna" , "Austria"
201134 , "Annie Wants a Baby" , "Red Hot Chili Peppers" , 4:17 , 7 , 49 , "Vienna" , "Austria"
201134 , "Look Around" , "Red Hot Chili Peppers" , 4:01 , 8 , 49 , "Vienna" , "Austria"
201134 , "Rolling in the Deep" , "Adele" , 3:46 , 9 , 45 , "Vienna" , "Austria"
201134 , "Police Station" , "Red Hot Chili Peppers" , 4:05 , 10 , 39 , "Vienna" , "Austria"
201134 , "Happiness Loves Company" , "Red Hot Chili Peppers" , 3:54 , 11 , 39 , "Vienna" , "Austria"
201134 , "Goodbye Hooray" , "Red Hot Chili Peppers" , 2:34 , 12 , 39 , "Vienna" , "Austria"
