201131 , "Rolling in the Deep" , "Adele" , 3:46 , 1 , 224 , "Melbourne" , "Australia"
201131 , "Someone Like You" , "Adele" , 4:44 , 2 , 196 , "Melbourne" , "Australia"
201131 , "Set Fire to the Rain" , "Adele" , 4:01 , 3 , 144 , "Melbourne" , "Australia"
201131 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 4 , 119 , "Melbourne" , "Australia"
201131 , "Perth" , "Bon Iver" , 4:21 , 5 , 109 , "Melbourne" , "Australia"
201131 , "Holocene" , "Bon Iver" , 5:32 , 6 , 108 , "Melbourne" , "Australia"
201131 , "Towers" , "Bon Iver" , 3:05 , 7 , 105 , "Melbourne" , "Australia"
201131 , "Somebody That I Used to Know (feat. Kimbra)" , "Gotye" , 4:05 , 8 , 102 , "Melbourne" , "Australia"
201131 , "Skinny Love" , "Bon Iver" , 3:57 , 9 , 102 , "Melbourne" , "Australia"
201131 , "Turning Tables" , "Adele" , 4:10 , 10 , 102 , "Melbourne" , "Australia"
201131 , "Rehab" , "Amy Winehouse" , 3:32 , 11 , 100 , "Melbourne" , "Australia"
201131 , "Minnesota, WI" , "Bon Iver" , 3:48 , 12 , 100 , "Melbourne" , "Australia"
201131 , "Take It All" , "Adele" , 3:48 , 13 , 99 , "Melbourne" , "Australia"
201131 , "Don't You Remember" , "Adele" , 4:03 , 14 , 97 , "Melbourne" , "Australia"
201131 , "Calgary" , "Bon Iver" , 4:09 , 15 , 95 , "Melbourne" , "Australia"
201131 , "He Won't Go" , "Adele" , 4:37 , 16 , 93 , "Melbourne" , "Australia"
201131 , "Hinnom, TX" , "Bon Iver" , 2:44 , 17 , 92 , "Melbourne" , "Australia"
201131 , "Wash." , "Bon Iver" , 4:48 , 18 , 90 , "Melbourne" , "Australia"
201131 , "All of the Lights" , "Kanye West" , 5:00 , 19 , 88 , "Melbourne" , "Australia"
201131 , "Rumour Has It" , "Adele" , 3:43 , 20 , 88 , "Melbourne" , "Australia"
201131 , "Rolling in the Deep" , "Adele" , 3:46 , 1 , 43 , "Adelaide" , "Australia"
201131 , "Someone Like You" , "Adele" , 4:44 , 2 , 36 , "Adelaide" , "Australia"
201131 , "The Suburbs" , "Arcade Fire" , 5:14 , 3 , 32 , "Adelaide" , "Australia"
201131 , "Holocene" , "Bon Iver" , 5:32 , 4 , 31 , "Adelaide" , "Australia"
201131 , "Skinny Love" , "Bon Iver" , 3:57 , 5 , 30 , "Adelaide" , "Australia"
201131 , "Calgary" , "Bon Iver" , 4:09 , 6 , 30 , "Adelaide" , "Australia"
201131 , "Perth" , "Bon Iver" , 4:21 , 7 , 28 , "Adelaide" , "Australia"
201131 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 8 , 27 , "Adelaide" , "Australia"
201131 , "Somebody That I Used to Know (feat. Kimbra)" , "Gotye" , 4:05 , 9 , 26 , "Adelaide" , "Australia"
201131 , "Towers" , "Bon Iver" , 3:05 , 10 , 26 , "Adelaide" , "Australia"
201131 , "Power" , "Kanye West" , 4:52 , 11 , 26 , "Adelaide" , "Australia"
201131 , "Smells Like Teen Spirit" , "Nirvana" , 5:02 , 12 , 25 , "Adelaide" , "Australia"
201131 , "Minnesota, WI" , "Bon Iver" , 3:48 , 13 , 24 , "Adelaide" , "Australia"
201131 , "Ready To Start" , "Arcade Fire" , 4:14 , 14 , 24 , "Adelaide" , "Australia"
201131 , "Michicant" , "Bon Iver" , 3:42 , 15 , 24 , "Adelaide" , "Australia"
201131 , "Hearts a Mess" , "Gotye" , 3:52 , 16 , 22 , "Adelaide" , "Australia"
201131 , "Back To Black" , "Amy Winehouse" , 4:00 , 17 , 22 , "Adelaide" , "Australia"
201131 , "Modern Man" , "Arcade Fire" , 4:40 , 18 , 22 , "Adelaide" , "Australia"
201131 , "All of the Lights" , "Kanye West" , 5:00 , 19 , 22 , "Adelaide" , "Australia"
201131 , "Born This Way" , "Lady Gaga" , 4:20 , 20 , 22 , "Adelaide" , "Australia"
201131 , "Rolling in the Deep" , "Adele" , 3:46 , 1 , 197 , "Sydney" , "Australia"
201131 , "Someone Like You" , "Adele" , 4:44 , 2 , 159 , "Sydney" , "Australia"
201131 , "Perth" , "Bon Iver" , 4:21 , 3 , 140 , "Sydney" , "Australia"
201131 , "Holocene" , "Bon Iver" , 5:32 , 4 , 139 , "Sydney" , "Australia"
