201111 , "Under Cover Of Darkness" , "The Strokes" , 3:54 , 1 , 108 , "Melbourne" , "Australia"
201111 , "Machu Picchu" , "The Strokes" , 3:29 , 2 , 94 , "Melbourne" , "Australia"
201111 , "Lotus Flower" , "Radiohead" , 5:00 , 3 , 92 , "Melbourne" , "Australia"
201111 , "Codex" , "Radiohead" , 4:47 , 4 , 90 , "Melbourne" , "Australia"
201111 , "Bloom" , "Radiohead" , 5:14 , 5 , 86 , "Melbourne" , "Australia"
201111 , "Taken For A Fool" , "The Strokes" , 3:24 , 6 , 84 , "Melbourne" , "Australia"
201111 , "Two Kinds Of Happiness" , "The Strokes" , 3:41 , 7 , 84 , "Melbourne" , "Australia"
201111 , "All of the Lights" , "Kanye West" , 5:00 , 8 , 82 , "Melbourne" , "Australia"
201111 , "Little By Little" , "Radiohead" , 4:27 , 9 , 82 , "Melbourne" , "Australia"
201111 , "The Suburbs" , "Arcade Fire" , 5:14 , 10 , 80 , "Melbourne" , "Australia"
201111 , "Separator" , "Radiohead" , 5:19 , 11 , 79 , "Melbourne" , "Australia"
201111 , "You're So Right" , "The Strokes" , 2:33 , 12 , 79 , "Melbourne" , "Australia"
201111 , "Feral" , "Radiohead" , 3:09 , 13 , 78 , "Melbourne" , "Australia"
201111 , "Young Blood" , "The Naked and Famous" , 4:07 , 14 , 75 , "Melbourne" , "Australia"
201111 , "Give Up the Ghost" , "Radiohead" , 4:50 , 15 , 75 , "Melbourne" , "Australia"
201111 , "Islands" , "The xx" , 2:41 , 16 , 75 , "Melbourne" , "Australia"
201111 , "Big Jet Plane" , "Angus &amp; Julia Stone" , 3:59 , 17 , 74 , "Melbourne" , "Australia"
201111 , "Games" , "The Strokes" , 3:50 , 18 , 74 , "Melbourne" , "Australia"
201111 , "Ready To Start" , "Arcade Fire" , 4:14 , 19 , 73 , "Melbourne" , "Australia"
201111 , "Undercover Martyn" , "Two Door Cinema Club" , 2:48 , 20 , 71 , "Melbourne" , "Australia"
201111 , "Under Cover Of Darkness" , "The Strokes" , 3:54 , 1 , 31 , "Adelaide" , "Australia"
201111 , "Machu Picchu" , "The Strokes" , 3:29 , 2 , 27 , "Adelaide" , "Australia"
201111 , "Lotus Flower" , "Radiohead" , 5:00 , 3 , 26 , "Adelaide" , "Australia"
201111 , "Two Kinds Of Happiness" , "The Strokes" , 3:41 , 4 , 25 , "Adelaide" , "Australia"
201111 , "Codex" , "Radiohead" , 4:47 , 5 , 24 , "Adelaide" , "Australia"
201111 , "You're So Right" , "The Strokes" , 2:33 , 6 , 24 , "Adelaide" , "Australia"
201111 , "Witchcraft" , "Pendulum" , 4:13 , 7 , 23 , "Adelaide" , "Australia"
201111 , "Watercolour" , "Pendulum" , 3:30 , 8 , 23 , "Adelaide" , "Australia"
201111 , "Separator" , "Radiohead" , 5:19 , 9 , 23 , "Adelaide" , "Australia"
201111 , "Taken For A Fool" , "The Strokes" , 3:24 , 10 , 23 , "Adelaide" , "Australia"
201111 , "Life Is Simple In The Moonlight" , "The Strokes" , 4:14 , 11 , 23 , "Adelaide" , "Australia"
201111 , "Call Me Back" , "The Strokes" , 3:01 , 12 , 23 , "Adelaide" , "Australia"
201111 , "Feral" , "Radiohead" , 3:09 , 13 , 22 , "Adelaide" , "Australia"
201111 , "Morning Mr Magpie" , "Radiohead" , 4:41 , 14 , 22 , "Adelaide" , "Australia"
201111 , "Gratisfaction" , "The Strokes" , 2:58 , 15 , 22 , "Adelaide" , "Australia"
201111 , "Games" , "The Strokes" , 3:50 , 16 , 22 , "Adelaide" , "Australia"
201111 , "Little By Little" , "Radiohead" , 4:27 , 17 , 22 , "Adelaide" , "Australia"
201111 , "All of the Lights" , "Kanye West" , 5:00 , 18 , 21 , "Adelaide" , "Australia"
201111 , "No Surprises" , "Radiohead" , 3:50 , 19 , 21 , "Adelaide" , "Australia"
201111 , "Metabolism" , "The Strokes" , 3:00 , 20 , 21 , "Adelaide" , "Australia"
201111 , "Under Cover Of Darkness" , "The Strokes" , 3:54 , 1 , 102 , "Sydney" , "Australia"
201111 , "Taken For A Fool" , "The Strokes" , 3:24 , 2 , 97 , "Sydney" , "Australia"
201111 , "Lotus Flower" , "Radiohead" , 5:00 , 3 , 96 , "Sydney" , "Australia"
201111 , "Machu Picchu" , "The Strokes" , 3:29 , 4 , 95 , "Sydney" , "Australia"
201111 , "Bloom" , "Radiohead" , 5:14 , 5 , 93 , "Sydney" , "Australia"
201111 , "Codex" , "Radiohead" , 4:47 , 6 , 91 , "Sydney" , "Australia"
201111 , "Little By Little" , "Radiohead" , 4:27 , 7 , 90 , "Sydney" , "Australia"
201111 , "Games" , "The Strokes" , 3:50 , 8 , 88 , "Sydney" , "Australia"
201111 , "Two Kinds Of Happiness" , "The Strokes" , 3:41 , 9 , 88 , "Sydney" , "Australia"
201111 , "You're So Right" , "The Strokes" , 2:33 , 10 , 86 , "Sydney" , "Australia"
201111 , "Give Up the Ghost" , "Radiohead" , 4:50 , 11 , 84 , "Sydney" , "Australia"
201111 , "Feral" , "Radiohead" , 3:09 , 12 , 83 , "Sydney" , "Australia"
201111 , "Call Me Back" , "The Strokes" , 3:01 , 13 , 82 , "Sydney" , "Australia"
201111 , "Gratisfaction" , "The Strokes" , 2:58 , 14 , 79 , "Sydney" , "Australia"
201111 , "Big Jet Plane" , "Angus &amp; Julia Stone" , 3:59 , 15 , 78 , "Sydney" , "Australia"
201111 , "Separator" , "Radiohead" , 5:19 , 16 , 77 , "Sydney" , "Australia"
201111 , "Life Is Simple In The Moonlight" , "The Strokes" , 4:14 , 17 , 77 , "Sydney" , "Australia"
201111 , "Morning Mr Magpie" , "Radiohead" , 4:41 , 18 , 76 , "Sydney" , "Australia"
201111 , "S&amp;M" , "Rihanna" , 4:01 , 19 , 72 , "Sydney" , "Australia"
201111 , "Metabolism" , "The Strokes" , 3:00 , 20 , 72 , "Sydney" , "Australia"
201111 , "Make It Stop (September's Children)" , "Rise Against" , 3:55 , 1 , 13 , "Linz" , "Austria"
201111 , "Endgame" , "Rise Against" , 3:24 , 2 , 12 , "Linz" , "Austria"
201111 , "Architects" , "Rise Against" , 3:43 , 3 , 12 , "Linz" , "Austria"
201111 , "Help Is On The Way" , "Rise Against" , 3:58 , 4 , 11 , "Linz" , "Austria"
201111 , "Satellite" , "Rise Against" , 3:59 , 5 , 11 , "Linz" , "Austria"
201111 , "A Gentlemen's Coup" , "Rise Against" , 3:46 , 6 , 11 , "Linz" , "Austria"
201111 , "Disparity By Design" , "Rise Against" , 3:49 , 7 , 11 , "Linz" , "Austria"
201111 , "Survivor Guilt" , "Rise Against" , 4:00 , 8 , 10 , "Linz" , "Austria"
201111 , "This Is Letting Go" , "Rise Against" , 3:41 , 9 , 10 , "Linz" , "Austria"
201111 , "Midnight Hands" , "Rise Against" , 4:18 , 10 , 10 , "Linz" , "Austria"
201111 , "Wait For Me" , "Rise Against" , 3:40 , 11 , 10 , "Linz" , "Austria"
201111 , "Broken Mirrors" , "Rise Against" , 3:55 , 12 , 10 , "Linz" , "Austria"
201111 , "Question!" , "System of a Down" , 3:20 , 13 , 7 , "Linz" , "Austria"
201111 , "Born This Way" , "Lady Gaga" , 4:20 , 14 , 7 , "Linz" , "Austria"
201111 , "S&amp;M" , "Rihanna" , 4:01 , 15 , 6 , "Linz" , "Austria"
201111 , "Lotus Flower" , "Radiohead" , 5:00 , 16 , 6 , "Linz" , "Austria"
201111 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 17 , 6 , "Linz" , "Austria"
201111 , "On Melancholy Hill" , "Gorillaz" , 3:28 , 18 , 6 , "Linz" , "Austria"
201111 , "Ready To Fall" , "Rise Against" , 3:48 , 19 , 6 , "Linz" , "Austria"
201111 , "Hurt" , "Johnny Cash" , 3:37 , 20 , 6 , "Linz" , "Austria"
