201144 , "Party Rock Anthem" , "LMFAO" , 4:22 , 4 , 8 , "Linz" , "Austria"
201144 , "Use Somebody" , "Kings of Leon" , 3:50 , 5 , 7 , "Linz" , "Austria"
201144 , "Fix You" , "Coldplay" , 4:57 , 6 , 7 , "Linz" , "Austria"
201144 , "Invaders Must Die" , "The Prodigy" , 4:55 , 7 , 7 , "Linz" , "Austria"
201144 , "What You Want" , "Evanescence" , 3:41 , 8 , 7 , "Linz" , "Austria"
201144 , "Revelry" , "Kings of Leon" , 3:21 , 9 , 6 , "Linz" , "Austria"
201144 , "Paradise" , "Coldplay" , 4:38 , 10 , 6 , "Linz" , "Austria"
201144 , "Somebody Told Me" , "The Killers" , 3:17 , 11 , 6 , "Linz" , "Austria"
201144 , "Young Blood" , "The Naked and Famous" , 4:07 , 12 , 6 , "Linz" , "Austria"
201144 , "Duality" , "Slipknot" , 4:12 , 13 , 6 , "Linz" , "Austria"
201144 , "Brenna tuats guat" , "Hubert von Goisern" , 3:49 , 14 , 6 , "Linz" , "Austria"
201144 , "Viva La Vida" , "Coldplay" , 4:00 , 15 , 6 , "Linz" , "Austria"
201144 , "17" , "Kings of Leon" , 3:04 , 16 , 6 , "Linz" , "Austria"
201144 , "Shadow of the Day" , "Linkin Park" , 4:15 , 17 , 6 , "Linz" , "Austria"
201144 , "Radioactive" , "Kings of Leon" , 3:25 , 18 , 6 , "Linz" , "Austria"
201144 , "Clocks" , "Coldplay" , 4:10 , 19 , 6 , "Linz" , "Austria"
201144 , "Be Quick Or Be Dead" , "Iron Maiden" , 3:24 , 20 , 5 , "Linz" , "Austria"
201144 , "Paradise" , "Coldplay" , 4:38 , 1 , 12 , "Graz" , "Austria"
201144 , "Midnight City" , "M83" , 4:04 , 2 , 11 , "Graz" , "Austria"
201144 , "Us Against the World" , "Coldplay" , 4:00 , 3 , 10 , "Graz" , "Austria"
201144 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 4 , 10 , "Graz" , "Austria"
201144 , "Every Teardrop Is a Waterfall" , "Coldplay" , 4:01 , 5 , 10 , "Graz" , "Austria"
201144 , "Hurts Like Heaven" , "Coldplay" , 4:02 , 6 , 9 , "Graz" , "Austria"
201144 , "Charlie Brown" , "Coldplay" , 4:45 , 7 , 9 , "Graz" , "Austria"
201144 , "Civilization" , "Justice" , 4:11 , 8 , 9 , "Graz" , "Austria"
201144 , "Graveyard" , "Feist" , 4:18 , 9 , 9 , "Graz" , "Austria"
201144 , "Don't Let It Break Your Heart" , "Coldplay" , 3:54 , 10 , 9 , "Graz" , "Austria"
201144 , "Chop Suey!" , "System of a Down" , 3:31 , 11 , 8 , "Graz" , "Austria"
201144 , "Reunion" , "M83" , 3:58 , 12 , 8 , "Graz" , "Austria"
201144 , "Wait" , "M83" , 5:44 , 13 , 8 , "Graz" , "Austria"
201144 , "Up in Flames" , "Coldplay" , 3:13 , 14 , 8 , "Graz" , "Austria"
201144 , "Brianvision" , "Justice" , 3:11 , 15 , 8 , "Graz" , "Austria"
201144 , "A Hopeful Transmission" , "Coldplay" , 0:33 , 16 , 8 , "Graz" , "Austria"
201144 , "Crystalised" , "The xx" , 3:22 , 17 , 8 , "Graz" , "Austria"
201144 , "Caught a Long Wind" , "Feist" , 4:54 , 18 , 8 , "Graz" , "Austria"
201144 , "Where the Boats Go" , "M83" , 1:46 , 19 , 8 , "Graz" , "Austria"
201144 , "Mylo Xyloto" , "Coldplay" , 0:42 , 20 , 8 , "Graz" , "Austria"
201144 , "Paradise" , "Coldplay" , 4:38 , 1 , 83 , "Vienna" , "Austria"
201144 , "Every Teardrop Is a Waterfall" , "Coldplay" , 4:01 , 2 , 74 , "Vienna" , "Austria"
201144 , "Midnight City" , "M83" , 4:04 , 3 , 71 , "Vienna" , "Austria"
201144 , "Charlie Brown" , "Coldplay" , 4:45 , 4 , 63 , "Vienna" , "Austria"
201144 , "Hurts Like Heaven" , "Coldplay" , 4:02 , 5 , 61 , "Vienna" , "Austria"
201144 , "Someone Like You" , "Adele" , 4:44 , 6 , 61 , "Vienna" , "Austria"
201144 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 7 , 61 , "Vienna" , "Austria"
201144 , "Rolling in the Deep" , "Adele" , 3:46 , 8 , 57 , "Vienna" , "Austria"
201144 , "Us Against the World" , "Coldplay" , 4:00 , 9 , 55 , "Vienna" , "Austria"
201144 , "Mylo Xyloto" , "Coldplay" , 0:42 , 10 , 54 , "Vienna" , "Austria"
201144 , "Major Minus" , "Coldplay" , 3:30 , 11 , 54 , "Vienna" , "Austria"
201144 , "U.F.O." , "Coldplay" , 2:18 , 12 , 52 , "Vienna" , "Austria"
201144 , "Shake It Out" , "Florence + the Machine" , 4:38 , 13 , 51 , "Vienna" , "Austria"
201144 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 14 , 50 , "Vienna" , "Austria"
201144 , "Only If For a Night" , "Florence + the Machine" , 4:58 , 15 , 49 , "Vienna" , "Austria"
201144 , "What the Water Gave Me" , "Florence + the Machine" , 5:34 , 16 , 49 , "Vienna" , "Austria"
